,Well Position,Reading,Boltzmann Temperature,Boltzmann Fluorescence,
1,A01,1,66.41842,81051.945,
1,A01,2,66.50652,81057.93,
1,A01,3,66.594635,81064.555,
1,A01,4,66.68274,81071.88,
1,A01,5,66.77084,81079.984,
1,A01,6,66.85895,81088.945,
1,A01,7,66.94706,81098.84,
1,A01,8,67.035164,81109.79,
1,A01,9,67.12327,81121.88,
1,A01,10,67.21137,81135.24,
1,A01,11,67.299484,81149.99,
1,A01,12,67.38759,81166.27,
1,A01,13,67.47569,81184.25,
1,A01,14,67.5638,81204.08,
1,A01,15,67.65191,81225.95,
1,A01,16,67.74001,81250.06,
1,A01,17,67.82812,81276.62,
1,A01,18,67.91622,81305.87,
1,A01,19,68.00433,81338.06,
1,A01,20,68.09244,81373.46,
1,A01,21,68.18054,81412.375,
1,A01,22,68.26865,81455.1,
1,A01,23,68.35676,81501.984,
1,A01,24,68.44486,81553.375,
1,A01,25,68.53297,81609.65,
1,A01,26,68.62107,81671.2,
1,A01,27,68.70918,81738.445,
1,A01,28,68.79729,81811.8,
1,A01,29,68.88539,81891.695,
1,A01,30,68.973495,81978.586,
1,A01,31,69.06161,82072.93,
1,A01,32,69.14971,82175.15,
1,A01,33,69.237816,82285.664,
1,A01,34,69.32592,82404.91,
1,A01,35,69.41403,82533.25,
1,A01,36,69.50214,82671.01,
1,A01,37,69.59024,82818.47,
1,A01,38,69.678345,82975.85,
1,A01,39,69.76645,83143.29,
1,A01,40,69.85456,83320.83,
1,A01,41,69.942665,83508.375,
1,A01,42,70.03077,83705.75,
1,A01,43,70.11887,83912.65,
1,A01,44,70.206985,84128.63,
1,A01,45,70.29509,84353.08,
1,A01,46,70.383194,84585.29,
1,A01,47,70.4713,84824.4,
1,A01,48,70.55941,85069.44,
1,A01,49,70.647514,85319.266,
1,A01,50,70.73562,85572.73,
1,A01,51,70.82372,85828.54,
1,A01,52,70.911835,86085.414,
1,A01,53,70.99994,86341.984,
1,A01,54,71.08804,86596.93,
1,A01,55,71.17615,86848.96,
1,A01,56,71.26426,87096.87,
1,A01,57,71.35236,87339.445,
1,A01,58,71.44047,87575.664,
1,A01,59,71.52857,87804.6,
1,A01,60,71.616684,88025.47,
1,A01,61,71.70479,88237.555,
1,A01,62,71.79289,88440.37,
1,A01,63,71.881,88633.5,
1,A01,64,71.96911,88816.73,
1,A01,65,72.05721,88989.87,
1,A01,66,72.14532,89152.92,
1,A01,67,72.23342,89305.98,
1,A01,68,72.32153,89449.2,
